,City,Country,Lat,Lng,Current Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kostanay,KZ,53.2146604,63.632607,55.47,50,0,11.18
1,Pokhara,NP,28.209538,83.991402,73.15,35,0,5.77
2,Itaituba,BR,-4.2625218,-55.9878139,76.55,91,89,1.95
3,Bucerias,MX,20.755567,-105.3343276,78.57,78,0,14.97
4,Guanhães,BR,-18.7753627,-42.9340634,67.05,82,41,3.78
5,Castro,CL,-42.482375,-73.7642918,44.01,93,75,0.0
6,Linjiang City,CN,41.8092486,126.9128334,48.29,55,59,1.99
7,Leningradskiy,RU,54.129108,79.236702,57.18,65,100,9.55
8,Carnarvon,ZA,-30.967778,22.133333,61.9,50,1,8.63
9,Hobyo,SO,5.349526,48.526366,83.25,76,4,10.36
10,Cape Town,ZA,-33.928992,18.417396,60.19,88,75,11.5
11,Touros,BR,-5.1998625,-35.4595051,79.52,83,80,12.3
12,Kailua,US,21.393623,-157.743759,79.97,69,20,11.5
13,Severo-Kurilsk,RU,50.6683048,156.1154399,34.23,92,100,14.03
14,Coahuayana,MX,18.6220145,-100.3484789,95.52,17,0,6.04
15,Kaitangata,NZ,-46.2817388,169.8464139,52.27,76,9,1.45
16,Dikson,RU,73.5083894,80.5123816,7.39,91,73,18.99
17,Sosnogorsk,RU,63.5895298,53.9305546,23.45,81,19,4.94
18,Warrnambool,AU,-38.3826241,142.4814191,65.8,70,82,15.52
19,Miri,MY,4.392739,113.9880255,77.11,100,20,5.75
20,São Francisco do Sul,BR,-26.2495087,-48.6308087,73.26,83,0,17.27
21,Sørland,NO,67.6660386,12.69192,35.06,60,100,16.26
22,Pochutla,MX,15.7431834,-96.4660973,86.83,54,60,7.05
23,Mandurah,AU,-32.5302495,115.7208782,55.0,74,42,6.33
24,Koumra,TD,8.9189081,17.5478111,79.7,66,98,4.54
25,Tres Arroyos,AR,-38.3770014,-60.2755685,43.61,54,11,7.05
26,Haimen,CN,31.8729183,121.1771295,55.99,93,100,12.03
27,Willowmore,ZA,-33.29533,23.488296,60.66,49,31,3.27
28,Lagoa,PT,37.13258125,-8.45505094811731,59.68,80,7,10.25
29,Evanston,US,42.0447388,-87.6930459,47.03,70,100,9.22
30,Mackay,AU,-21.141956,149.1865149,75.15,83,75,13.8
31,Seoul,KR,37.5666791,126.9782914,51.39,85,100,6.91
32,Bluff,NZ,-46.6014038,168.3398682,51.22,80,41,7.4
33,Diveyevo,RU,55.041687,43.245518,31.26,67,12,5.14
34,Athmallik,IN,20.7218533,84.5347509,82.78,37,1,1.92
35,Chapais,CA,49.7829998,-74.8572812,35.35,67,6,9.98
36,Bolungarvíkurkaupstaður,IS,66.1575503,-23.2507273,42.55,77,11,6.15
37,City of Mount Gambier,AU,-37.8246698,140.7820067624113,64.6,72,100,10.36
38,Taraz,KZ,42.9015945,71.3769302,53.98,71,100,11.18
39,Bhadra,IN,29.1012943,75.1675355,86.67,13,42,7.96
40,Khowa (Elliot),ZA,-31.333889,27.849167,51.4,62,11,9.35
41,Constitución,CL,-35.3318306,-72.4118998,52.5,66,0,8.86
42,Yarada,IN,17.6594956,83.2759809,82.2,78,19,8.08
43,Storforshei,NO,66.4043138,14.5232582,28.18,80,100,3.44
44,Abu Dhabi,AE,24.4538352,54.3774014,82.2,69,0,5.75
45,Cassilândia,BR,-19.1128242,-51.7345354,79.63,37,64,2.1
46,Taoudeni,ML,22.6762333,-3.9805269,85.55,10,0,7.38
47,Plettenberg Bay,ZA,-34.052778,23.369444,60.64,67,9,3.8
48,Miyako,JP,39.6395835,141.9461177,49.57,48,99,3.11
49,Kahului,US,20.8894101,-156.4727118,89.58,43,40,19.57
50,Tecoanapa,MX,16.9875,-99.258889,88.45,34,0,7.96
51,Metapán,SV,14.332178,-89.4481035,84.29,51,91,2.3
52,Taroudant,MA,30.470651,-8.877922,60.71,70,3,4.29
53,Khani,RU,56.914032,119.954155,25.81,77,27,4.56
54,Constitucion,MX,23.9911739,-104.6749252,83.14,11,37,13.0
