,City,Country,Lat,Lng,Current Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Araguaçu,BR,-12.928934,-49.823134,87.91,45,3,5.57
1,Kalmunai,LK,7.4131557,81.8269327,82.0,76,8,6.58
2,Tasiilaq,GL,65.6152573,-37.6378149,41.5,78,98,5.19
3,Aklavik,CA,68.2182579,-135.013585,19.11,87,100,10.56
4,Deputatskiy,RU,54.8408485,61.1269918,55.78,79,38,8.72
5,Trairi,BR,-3.2741504,-39.2649188,80.33,80,100,9.19
6,Dundalk,US,39.2574114,-76.5236745,57.43,42,75,20.71
7,Hihifo,TO,-19.8154734,-174.35413,77.02,61,20,16.11
8,Hibbing,US,47.427155,-92.937689,40.87,30,0,12.66
9,Cidreira,BR,-30.1657063,-50.218331,83.89,61,14,7.09
10,La Rioja,AR,-29.4127411,-66.8558795,77.14,31,0,6.13
11,Willmar,US,45.1219492,-95.0435373,44.08,42,0,20.71
12,Finnsnes,NO,69.2296051,17.9812828,27.23,92,100,10.83
13,Bonthe,SL,7.527274,-12.501955,81.7,76,100,7.2
14,Totness,SR,5.8771314,-56.3307762,82.89,73,95,7.29
15,Myaundzha,RU,63.04744,147.181534,-5.73,99,82,4.29
16,Huarmey,PE,-10.0687481,-78.152199,71.73,76,22,9.33
17,Igrim,RU,63.191513,64.424301,29.64,89,36,6.91
18,Belmonte,BR,-15.8630837,-38.8792845,79.61,81,1,8.08
19,La Ronge,CA,55.1005283,-105.2900485,44.78,39,75,14.97
20,Najran,SA,17.5439809,44.2246817,83.46,18,40,5.17
21,Sosnogorsk,RU,63.5895298,53.9305546,26.01,93,100,11.65
22,Grindavík,IS,63.844239,-22.4317498,46.72,71,75,8.05
23,La Margarita,CO,5.96028375,-76.00803890531571,74.26,73,97,1.34
24,Mount Isa,AU,-20.7289898,139.4931522,67.86,88,40,0.0
25,Carlet,ES,39.2251696,-0.5202051,60.01,87,100,6.38
26,Carnarvon,AU,-24.8826131,113.6576486,64.38,82,0,9.22
27,Adrar,DZ,27.8733807,-0.2874884,91.62,10,0,11.5
28,Huaidian,CN,32.126383,116.639508,56.98,56,68,10.31
29,Belomorsk,RU,64.5216684,34.7625835,21.11,88,71,4.12
30,Brainerd,US,46.3580221,-94.2008288,44.04,31,0,10.36
31,Kapaa,US,22.0747334,-159.3191601,75.24,88,75,16.11
32,Smiltene,LV,57.4243197,25.9045413,35.49,54,77,2.33
33,Umirim,BR,-3.6777738,-39.348725,81.61,83,100,4.18
34,Bud,NO,62.9087903,6.9144755,39.15,96,100,23.13
35,Daru,PG,-9.069901,143.210029,78.3,88,60,7.74
36,Kruisfontein,ZA,-34.0119558,24.7433295,61.99,69,0,4.9
37,Richards Bay,ZA,-28.7707857,32.0577775,64.08,81,63,0.74
38,Mossendjo,CG,-2.9455305,12.7152756,70.81,97,100,1.9
39,Pundaguitan,PH,6.375915,126.1643773,78.57,83,100,1.21
